% Xfiducial, Yfiducial=(  9.14  86.36), ( 76.20  86.36), (143.26  86.36), (  9.14  50.80), (143.26  50.80), (  9.14  15.24), ( 76.20  15.24), (143.26  15.24) mm 
% Sample, x(mm), y(mm), dx(mm), dy(mm), A(fraction), B(fraction), C(fraction), D(fraction), E(fraction), F(fraction), G(fraction), H(fraction), code(0=sample; 1=spectral reference; 2=ABCD control; 3=EFGH control; 4=duplicate sample) 
1041,  44.70,  50.80,  1.02,  1.02, 0.100, 0.550, 0.150, 0.200, 0.000, 0.000, 0.000, 0.000, 0 
1042,  46.73,  50.80,  1.02,  1.02, 0.100, 0.500, 0.200, 0.200, 0.000, 0.000, 0.000, 0.000, 0 
1043,  48.76,  50.80,  1.02,  1.02, 0.100, 0.450, 0.250, 0.200, 0.000, 0.000, 0.000, 0.000, 0 
1044,  50.80,  50.80,  1.02,  1.02, 0.100, 0.400, 0.300, 0.200, 0.000, 0.000, 0.000, 0.000, 0 
1045,  52.83,  50.80,  1.02,  1.02, 0.100, 0.350, 0.350, 0.200, 0.000, 0.000, 0.000, 0.000, 0 
1046,  54.86,  50.80,  1.02,  1.02, 0.100, 0.300, 0.400, 0.200, 0.000, 0.000, 0.000, 0.000, 0 
1047,  56.89,  50.80,  1.02,  1.02, 0.100, 0.250, 0.450, 0.200, 0.000, 0.000, 0.000, 0.000, 0 
1048,  58.92,  50.80,  1.02,  1.02, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1 
1049,  60.96,  50.80,  1.02,  1.02, 0.100, 0.200, 0.500, 0.200, 0.000, 0.000, 0.000, 0.000, 0 
1050,  62.99,  50.80,  1.02,  1.02, 0.100, 0.150, 0.550, 0.200, 0.000, 0.000, 0.000, 0.000, 0 
1051,  65.02,  50.80,  1.02,  1.02, 0.100, 0.100, 0.600, 0.200, 0.000, 0.000, 0.000, 0.000, 0 
1052,  67.05,  50.80,  1.02,  1.02, 0.100, 0.050, 0.650, 0.200, 0.000, 0.000, 0.000, 0.000, 0 
1053,  69.08,  50.80,  1.02,  1.02, 0.100, 0.000, 0.700, 0.200, 0.000, 0.000, 0.000, 0.000, 0 
1054,  71.12,  50.80,  1.02,  1.02, 0.050, 0.750, 0.000, 0.200, 0.000, 0.000, 0.000, 0.000, 0 
1055,  73.15,  50.80,  1.02,  1.02, 0.050, 0.700, 0.050, 0.200, 0.000, 0.000, 0.000, 0.000, 0 
1056,  75.18,  50.80,  1.02,  1.02, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2 
1057,  77.21,  50.80,  1.02,  1.02, 0.050, 0.650, 0.100, 0.200, 0.000, 0.000, 0.000, 0.000, 0 
1058,  79.24,  50.80,  1.02,  1.02, 0.050, 0.600, 0.150, 0.200, 0.000, 0.000, 0.000, 0.000, 0 
1059,  81.28,  50.80,  1.02,  1.02, 0.050, 0.550, 0.200, 0.200, 0.000, 0.000, 0.000, 0.000, 0 
1060,  83.31,  50.80,  1.02,  1.02, 0.050, 0.500, 0.250, 0.200, 0.000, 0.000, 0.000, 0.000, 0 
1061,  85.34,  50.80,  1.02,  1.02, 0.050, 0.450, 0.300, 0.200, 0.000, 0.000, 0.000, 0.000, 0 
1062,  87.37,  50.80,  1.02,  1.02, 0.050, 0.400, 0.350, 0.200, 0.000, 0.000, 0.000, 0.000, 0 
1063,  89.40,  50.80,  1.02,  1.02, 0.050, 0.350, 0.400, 0.200, 0.000, 0.000, 0.000, 0.000, 0 
1064,  91.44,  50.80,  1.02,  1.02, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1 
1065,  93.47,  50.80,  1.02,  1.02, 0.050, 0.300, 0.450, 0.200, 0.000, 0.000, 0.000, 0.000, 0 
1066,  95.50,  50.80,  1.02,  1.02, 0.050, 0.250, 0.500, 0.200, 0.000, 0.000, 0.000, 0.000, 0 
1067,  97.53,  50.80,  1.02,  1.02, 0.050, 0.200, 0.550, 0.200, 0.000, 0.000, 0.000, 0.000, 0 
1068,  99.56,  50.80,  1.02,  1.02, 0.050, 0.150, 0.600, 0.200, 0.000, 0.000, 0.000, 0.000, 0 
1069, 101.60,  50.80,  1.02,  1.02, 0.050, 0.100, 0.650, 0.200, 0.000, 0.000, 0.000, 0.000, 0 
1070, 103.63,  50.80,  1.02,  1.02, 0.050, 0.050, 0.700, 0.200, 0.000, 0.000, 0.000, 0.000, 0 
1071, 105.66,  50.80,  1.02,  1.02, 0.050, 0.000, 0.750, 0.200, 0.000, 0.000, 0.000, 0.000, 0 
1072, 107.69,  50.80,  1.02,  1.02, 0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000, 2 
1073, 109.72,  50.80,  1.02,  1.02, 0.000, 0.800, 0.000, 0.200, 0.000, 0.000, 0.000, 0.000, 0 
1074, 111.76,  50.80,  1.02,  1.02, 0.000, 0.750, 0.050, 0.200, 0.000, 0.000, 0.000, 0.000, 0 
1075, 113.79,  50.80,  1.02,  1.02, 0.000, 0.700, 0.100, 0.200, 0.000, 0.000, 0.000, 0.000, 0 
1076, 115.82,  50.80,  1.02,  1.02, 0.000, 0.650, 0.150, 0.200, 0.000, 0.000, 0.000, 0.000, 0 
1077, 117.85,  50.80,  1.02,  1.02, 0.000, 0.600, 0.200, 0.200, 0.000, 0.000, 0.000, 0.000, 0 
1078, 119.88,  50.80,  1.02,  1.02, 0.000, 0.550, 0.250, 0.200, 0.000, 0.000, 0.000, 0.000, 0 
1079, 121.92,  50.80,  1.02,  1.02, 0.000, 0.500, 0.300, 0.200, 0.000, 0.000, 0.000, 0.000, 0 
1080, 123.95,  50.80,  1.02,  1.02, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1 
1081, 125.98,  50.80,  1.02,  1.02, 0.000, 0.450, 0.350, 0.200, 0.000, 0.000, 0.000, 0.000, 0 
1082, 128.01,  50.80,  1.02,  1.02, 0.000, 0.400, 0.400, 0.200, 0.000, 0.000, 0.000, 0.000, 0 
1083, 130.04,  50.80,  1.02,  1.02, 0.000, 0.350, 0.450, 0.200, 0.000, 0.000, 0.000, 0.000, 0 
1084, 132.08,  50.80,  1.02,  1.02, 0.000, 0.300, 0.500, 0.200, 0.000, 0.000, 0.000, 0.000, 0 
1085, 134.11,  50.80,  1.02,  1.02, 0.000, 0.250, 0.550, 0.200, 0.000, 0.000, 0.000, 0.000, 0 
1086, 136.14,  50.80,  1.02,  1.02, 0.000, 0.200, 0.600, 0.200, 0.000, 0.000, 0.000, 0.000, 0 
1087, 138.17,  50.80,  1.02,  1.02, 0.000, 0.150, 0.650, 0.200, 0.000, 0.000, 0.000, 0.000, 0 
1088, 140.20,  50.80,  1.02,  1.02, 0.000, 0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 3 
1089,  12.19,  48.77,  1.02,  1.02, 0.000, 0.100, 0.700, 0.200, 0.000, 0.000, 0.000, 0.000, 0 
1090,  14.22,  48.77,  1.02,  1.02, 0.000, 0.050, 0.750, 0.200, 0.000, 0.000, 0.000, 0.000, 0 
1091,  16.25,  48.77,  1.02,  1.02, 0.000, 0.000, 0.800, 0.200, 0.000, 0.000, 0.000, 0.000, 0 
1092,  18.28,  48.77,  1.02,  1.02, 0.750, 0.000, 0.000, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1093,  20.32,  48.77,  1.02,  1.02, 0.700, 0.050, 0.000, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1094,  22.35,  48.77,  1.02,  1.02, 0.700, 0.000, 0.050, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1095,  24.38,  48.77,  1.02,  1.02, 0.650, 0.100, 0.000, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1096,  26.41,  48.77,  1.02,  1.02, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 3 
1097,  28.44,  48.77,  1.02,  1.02, 0.650, 0.050, 0.050, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1098,  30.48,  48.77,  1.02,  1.02, 0.650, 0.000, 0.100, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1099,  32.51,  48.77,  1.02,  1.02, 0.600, 0.150, 0.000, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1100,  34.54,  48.77,  1.02,  1.02, 0.600, 0.100, 0.050, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1101,  36.57,  48.77,  1.02,  1.02, 0.600, 0.050, 0.100, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1102,  38.60,  48.77,  1.02,  1.02, 0.600, 0.000, 0.150, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1103,  40.64,  48.77,  1.02,  1.02, 0.550, 0.200, 0.000, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1104,  42.67,  48.77,  1.02,  1.02, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1 
1105,  44.70,  48.77,  1.02,  1.02, 0.550, 0.150, 0.050, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1106,  46.73,  48.77,  1.02,  1.02, 0.550, 0.100, 0.100, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1107,  48.76,  48.77,  1.02,  1.02, 0.550, 0.050, 0.150, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1108,  50.80,  48.77,  1.02,  1.02, 0.550, 0.000, 0.200, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1109,  52.83,  48.77,  1.02,  1.02, 0.500, 0.250, 0.000, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1110,  54.86,  48.77,  1.02,  1.02, 0.500, 0.200, 0.050, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1111,  56.89,  48.77,  1.02,  1.02, 0.500, 0.150, 0.100, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1112,  58.92,  48.77,  1.02,  1.02, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000, 0.000, 3 
1113,  60.96,  48.77,  1.02,  1.02, 0.500, 0.100, 0.150, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1114,  62.99,  48.77,  1.02,  1.02, 0.500, 0.050, 0.200, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1115,  65.02,  48.77,  1.02,  1.02, 0.500, 0.000, 0.250, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1116,  67.05,  48.77,  1.02,  1.02, 0.450, 0.300, 0.000, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1117,  69.08,  48.77,  1.02,  1.02, 0.450, 0.250, 0.050, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1118,  71.12,  48.77,  1.02,  1.02, 0.450, 0.200, 0.100, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1119,  73.15,  48.77,  1.02,  1.02, 0.450, 0.150, 0.150, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1120,  75.18,  48.77,  1.02,  1.02, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1 
1121,  77.21,  48.77,  1.02,  1.02, 0.450, 0.100, 0.200, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1122,  79.24,  48.77,  1.02,  1.02, 0.450, 0.050, 0.250, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1123,  81.28,  48.77,  1.02,  1.02, 0.450, 0.000, 0.300, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1124,  83.31,  48.77,  1.02,  1.02, 0.400, 0.350, 0.000, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1125,  85.34,  48.77,  1.02,  1.02, 0.400, 0.300, 0.050, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1126,  87.37,  48.77,  1.02,  1.02, 0.400, 0.250, 0.100, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1127,  89.40,  48.77,  1.02,  1.02, 0.400, 0.200, 0.150, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1128,  91.44,  48.77,  1.02,  1.02, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2 
1129,  93.47,  48.77,  1.02,  1.02, 0.400, 0.150, 0.200, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1130,  95.50,  48.77,  1.02,  1.02, 0.400, 0.100, 0.250, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1131,  97.53,  48.77,  1.02,  1.02, 0.400, 0.050, 0.300, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1132,  99.56,  48.77,  1.02,  1.02, 0.400, 0.000, 0.350, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1133, 101.60,  48.77,  1.02,  1.02, 0.350, 0.400, 0.000, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1134, 103.63,  48.77,  1.02,  1.02, 0.350, 0.350, 0.050, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1135, 105.66,  48.77,  1.02,  1.02, 0.350, 0.300, 0.100, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1136, 107.69,  48.77,  1.02,  1.02, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1 
1137, 109.72,  48.77,  1.02,  1.02, 0.350, 0.250, 0.150, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1138, 111.76,  48.77,  1.02,  1.02, 0.350, 0.200, 0.200, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1139, 113.79,  48.77,  1.02,  1.02, 0.350, 0.150, 0.250, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1140, 115.82,  48.77,  1.02,  1.02, 0.350, 0.100, 0.300, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1141, 117.85,  48.77,  1.02,  1.02, 0.350, 0.050, 0.350, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1142, 119.88,  48.77,  1.02,  1.02, 0.350, 0.000, 0.400, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1143, 121.92,  48.77,  1.02,  1.02, 0.300, 0.450, 0.000, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1144, 123.95,  48.77,  1.02,  1.02, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2 
1145, 125.98,  48.77,  1.02,  1.02, 0.300, 0.400, 0.050, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1146, 128.01,  48.77,  1.02,  1.02, 0.300, 0.350, 0.100, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1147, 130.04,  48.77,  1.02,  1.02, 0.300, 0.300, 0.150, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1148, 132.08,  48.77,  1.02,  1.02, 0.300, 0.250, 0.200, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1149, 134.11,  48.77,  1.02,  1.02, 0.300, 0.200, 0.250, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1150, 136.14,  48.77,  1.02,  1.02, 0.300, 0.150, 0.300, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1151, 138.17,  48.77,  1.02,  1.02, 0.300, 0.100, 0.350, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1152, 140.20,  48.77,  1.02,  1.02, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1 
1153,  12.19,  46.74,  1.02,  1.02, 0.300, 0.050, 0.400, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1154,  14.22,  46.74,  1.02,  1.02, 0.300, 0.000, 0.450, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1155,  16.25,  46.74,  1.02,  1.02, 0.250, 0.500, 0.000, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1156,  18.28,  46.74,  1.02,  1.02, 0.250, 0.450, 0.050, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1157,  20.32,  46.74,  1.02,  1.02, 0.250, 0.400, 0.100, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1158,  22.35,  46.74,  1.02,  1.02, 0.250, 0.350, 0.150, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1159,  24.38,  46.74,  1.02,  1.02, 0.250, 0.300, 0.200, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1160,  26.41,  46.74,  1.02,  1.02, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1 
1161,  28.44,  46.74,  1.02,  1.02, 0.250, 0.250, 0.250, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1162,  30.48,  46.74,  1.02,  1.02, 0.250, 0.200, 0.300, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1163,  32.51,  46.74,  1.02,  1.02, 0.250, 0.150, 0.350, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1164,  34.54,  46.74,  1.02,  1.02, 0.250, 0.100, 0.400, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1165,  36.57,  46.74,  1.02,  1.02, 0.250, 0.050, 0.450, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1166,  38.60,  46.74,  1.02,  1.02, 0.250, 0.000, 0.500, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1167,  40.64,  46.74,  1.02,  1.02, 0.200, 0.550, 0.000, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1168,  42.67,  46.74,  1.02,  1.02, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2 
1169,  44.70,  46.74,  1.02,  1.02, 0.200, 0.500, 0.050, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1170,  46.73,  46.74,  1.02,  1.02, 0.200, 0.450, 0.100, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1171,  48.76,  46.74,  1.02,  1.02, 0.200, 0.400, 0.150, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1172,  50.80,  46.74,  1.02,  1.02, 0.200, 0.350, 0.200, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1173,  52.83,  46.74,  1.02,  1.02, 0.200, 0.300, 0.250, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1174,  54.86,  46.74,  1.02,  1.02, 0.200, 0.250, 0.300, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1175,  56.89,  46.74,  1.02,  1.02, 0.200, 0.200, 0.350, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1176,  58.92,  46.74,  1.02,  1.02, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1 
1177,  60.96,  46.74,  1.02,  1.02, 0.200, 0.150, 0.400, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1178,  62.99,  46.74,  1.02,  1.02, 0.200, 0.100, 0.450, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1179,  65.02,  46.74,  1.02,  1.02, 0.200, 0.050, 0.500, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1180,  67.05,  46.74,  1.02,  1.02, 0.200, 0.000, 0.550, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1181,  69.08,  46.74,  1.02,  1.02, 0.150, 0.600, 0.000, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1182,  71.12,  46.74,  1.02,  1.02, 0.150, 0.550, 0.050, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1183,  73.15,  46.74,  1.02,  1.02, 0.150, 0.500, 0.100, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1184,  75.18,  46.74,  1.02,  1.02, 0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000, 2 
1185,  77.21,  46.74,  1.02,  1.02, 0.150, 0.450, 0.150, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1186,  79.24,  46.74,  1.02,  1.02, 0.150, 0.400, 0.200, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1187,  81.28,  46.74,  1.02,  1.02, 0.150, 0.350, 0.250, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1188,  83.31,  46.74,  1.02,  1.02, 0.150, 0.300, 0.300, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1189,  85.34,  46.74,  1.02,  1.02, 0.150, 0.250, 0.350, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1190,  87.37,  46.74,  1.02,  1.02, 0.150, 0.200, 0.400, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1191,  89.40,  46.74,  1.02,  1.02, 0.150, 0.150, 0.450, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1192,  91.44,  46.74,  1.02,  1.02, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1 
1193,  93.47,  46.74,  1.02,  1.02, 0.150, 0.100, 0.500, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1194,  95.50,  46.74,  1.02,  1.02, 0.150, 0.050, 0.550, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1195,  97.53,  46.74,  1.02,  1.02, 0.150, 0.000, 0.600, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1196,  99.56,  46.74,  1.02,  1.02, 0.100, 0.650, 0.000, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1197, 101.60,  46.74,  1.02,  1.02, 0.100, 0.600, 0.050, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1198, 103.63,  46.74,  1.02,  1.02, 0.100, 0.550, 0.100, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1199, 105.66,  46.74,  1.02,  1.02, 0.100, 0.500, 0.150, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1200, 107.69,  46.74,  1.02,  1.02, 0.000, 0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 3 
1201, 109.72,  46.74,  1.02,  1.02, 0.100, 0.450, 0.200, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1202, 111.76,  46.74,  1.02,  1.02, 0.100, 0.400, 0.250, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1203, 113.79,  46.74,  1.02,  1.02, 0.100, 0.350, 0.300, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1204, 115.82,  46.74,  1.02,  1.02, 0.100, 0.300, 0.350, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1205, 117.85,  46.74,  1.02,  1.02, 0.100, 0.250, 0.400, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1206, 119.88,  46.74,  1.02,  1.02, 0.100, 0.200, 0.450, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1207, 121.92,  46.74,  1.02,  1.02, 0.100, 0.150, 0.500, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1208, 123.95,  46.74,  1.02,  1.02, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1 
1209, 125.98,  46.74,  1.02,  1.02, 0.100, 0.100, 0.550, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1210, 128.01,  46.74,  1.02,  1.02, 0.100, 0.050, 0.600, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1211, 130.04,  46.74,  1.02,  1.02, 0.100, 0.000, 0.650, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1212, 132.08,  46.74,  1.02,  1.02, 0.050, 0.700, 0.000, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1213, 134.11,  46.74,  1.02,  1.02, 0.050, 0.650, 0.050, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1214, 136.14,  46.74,  1.02,  1.02, 0.050, 0.600, 0.100, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1215, 138.17,  46.74,  1.02,  1.02, 0.050, 0.550, 0.150, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1216, 140.20,  46.74,  1.02,  1.02, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 3 
1217,  12.19,  44.70,  1.02,  1.02, 0.050, 0.500, 0.200, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1218,  14.22,  44.70,  1.02,  1.02, 0.050, 0.450, 0.250, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1219,  16.25,  44.70,  1.02,  1.02, 0.050, 0.400, 0.300, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1220,  18.28,  44.70,  1.02,  1.02, 0.050, 0.350, 0.350, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1221,  20.32,  44.70,  1.02,  1.02, 0.050, 0.300, 0.400, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1222,  22.35,  44.70,  1.02,  1.02, 0.050, 0.250, 0.450, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1223,  24.38,  44.70,  1.02,  1.02, 0.050, 0.200, 0.500, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1224,  26.41,  44.70,  1.02,  1.02, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000, 0.000, 3 
1225,  28.44,  44.70,  1.02,  1.02, 0.050, 0.150, 0.550, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1226,  30.48,  44.70,  1.02,  1.02, 0.050, 0.100, 0.600, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1227,  32.51,  44.70,  1.02,  1.02, 0.050, 0.050, 0.650, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1228,  34.54,  44.70,  1.02,  1.02, 0.050, 0.000, 0.700, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1229,  36.57,  44.70,  1.02,  1.02, 0.000, 0.750, 0.000, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1230,  38.60,  44.70,  1.02,  1.02, 0.000, 0.700, 0.050, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1231,  40.64,  44.70,  1.02,  1.02, 0.000, 0.650, 0.100, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1232,  42.67,  44.70,  1.02,  1.02, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1 
1233,  44.70,  44.70,  1.02,  1.02, 0.000, 0.600, 0.150, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1234,  46.73,  44.70,  1.02,  1.02, 0.000, 0.550, 0.200, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1235,  48.76,  44.70,  1.02,  1.02, 0.000, 0.500, 0.250, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1236,  50.80,  44.70,  1.02,  1.02, 0.000, 0.450, 0.300, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1237,  52.83,  44.70,  1.02,  1.02, 0.000, 0.400, 0.350, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1238,  54.86,  44.70,  1.02,  1.02, 0.000, 0.350, 0.400, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1239,  56.89,  44.70,  1.02,  1.02, 0.000, 0.300, 0.450, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1240,  58.92,  44.70,  1.02,  1.02, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2 
1241,  60.96,  44.70,  1.02,  1.02, 0.000, 0.250, 0.500, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1242,  62.99,  44.70,  1.02,  1.02, 0.000, 0.200, 0.550, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1243,  65.02,  44.70,  1.02,  1.02, 0.000, 0.150, 0.600, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1244,  67.05,  44.70,  1.02,  1.02, 0.000, 0.100, 0.650, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
1245,  69.08,  44.70,  1.02,  1.02, 0.000, 0.050, 0.700, 0.250, 0.000, 0.000, 0.000, 0.000, 0 
