% Xfiducial, Yfiducial=(  9.14  86.36), ( 76.20  86.36), (143.26  86.36), (  9.14  50.80), (143.26  50.80), (  9.14  15.24), ( 76.20  15.24), (143.26  15.24) mm 
% Sample, x(mm), y(mm), dx(mm), dy(mm), A(fraction), B(fraction), C(fraction), D(fraction), E(fraction), F(fraction), G(fraction), H(fraction), code(0=sample; 1=spectral reference; 2=ABCD control; 3=EFGH control; 4=duplicate sample) 
0094,  71.12,  81.28,  1.02,  1.02, 0.400, 0.400, 0.200, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0095,  73.15,  81.28,  1.02,  1.02, 0.400, 0.350, 0.250, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0096,  75.18,  81.28,  1.02,  1.02, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1 
0097,  77.21,  81.28,  1.02,  1.02, 0.400, 0.300, 0.300, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0098,  79.24,  81.28,  1.02,  1.02, 0.400, 0.250, 0.350, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0099,  81.28,  81.28,  1.02,  1.02, 0.400, 0.200, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0100,  83.31,  81.28,  1.02,  1.02, 0.400, 0.150, 0.450, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0101,  85.34,  81.28,  1.02,  1.02, 0.400, 0.100, 0.500, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0102,  87.37,  81.28,  1.02,  1.02, 0.400, 0.050, 0.550, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0103,  89.40,  81.28,  1.02,  1.02, 0.400, 0.000, 0.600, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0104,  91.44,  81.28,  1.02,  1.02, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000, 0.000, 3 
0105,  93.47,  81.28,  1.02,  1.02, 0.350, 0.650, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0106,  95.50,  81.28,  1.02,  1.02, 0.350, 0.600, 0.050, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0107,  97.53,  81.28,  1.02,  1.02, 0.350, 0.550, 0.100, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0108,  99.56,  81.28,  1.02,  1.02, 0.350, 0.500, 0.150, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0109, 101.60,  81.28,  1.02,  1.02, 0.350, 0.450, 0.200, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0110, 103.63,  81.28,  1.02,  1.02, 0.350, 0.400, 0.250, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0111, 105.66,  81.28,  1.02,  1.02, 0.350, 0.350, 0.300, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0112, 107.69,  81.28,  1.02,  1.02, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1 
0113, 109.72,  81.28,  1.02,  1.02, 0.350, 0.300, 0.350, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0114, 111.76,  81.28,  1.02,  1.02, 0.350, 0.250, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0115, 113.79,  81.28,  1.02,  1.02, 0.350, 0.200, 0.450, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0116, 115.82,  81.28,  1.02,  1.02, 0.350, 0.150, 0.500, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0117, 117.85,  81.28,  1.02,  1.02, 0.350, 0.100, 0.550, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0118, 119.88,  81.28,  1.02,  1.02, 0.350, 0.050, 0.600, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0119, 121.92,  81.28,  1.02,  1.02, 0.350, 0.000, 0.650, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0120, 123.95,  81.28,  1.02,  1.02, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2 
0121, 125.98,  81.28,  1.02,  1.02, 0.300, 0.700, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0122, 128.01,  81.28,  1.02,  1.02, 0.300, 0.650, 0.050, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0123, 130.04,  81.28,  1.02,  1.02, 0.300, 0.600, 0.100, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0124, 132.08,  81.28,  1.02,  1.02, 0.300, 0.550, 0.150, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0125, 134.11,  81.28,  1.02,  1.02, 0.300, 0.500, 0.200, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0126, 136.14,  81.28,  1.02,  1.02, 0.300, 0.450, 0.250, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0127, 138.17,  81.28,  1.02,  1.02, 0.300, 0.400, 0.300, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0128, 140.20,  81.28,  1.02,  1.02, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1 
0129,  12.19,  79.25,  1.02,  1.02, 0.300, 0.350, 0.350, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0130,  14.22,  79.25,  1.02,  1.02, 0.300, 0.300, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0131,  16.25,  79.25,  1.02,  1.02, 0.300, 0.250, 0.450, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0132,  18.28,  79.25,  1.02,  1.02, 0.300, 0.200, 0.500, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0133,  20.32,  79.25,  1.02,  1.02, 0.300, 0.150, 0.550, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0134,  22.35,  79.25,  1.02,  1.02, 0.300, 0.100, 0.600, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0135,  24.38,  79.25,  1.02,  1.02, 0.300, 0.050, 0.650, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0136,  26.41,  79.25,  1.02,  1.02, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1 
0137,  28.44,  79.25,  1.02,  1.02, 0.300, 0.000, 0.700, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0138,  30.48,  79.25,  1.02,  1.02, 0.250, 0.750, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0139,  32.51,  79.25,  1.02,  1.02, 0.250, 0.700, 0.050, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0140,  34.54,  79.25,  1.02,  1.02, 0.250, 0.650, 0.100, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0141,  36.57,  79.25,  1.02,  1.02, 0.250, 0.600, 0.150, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0142,  38.60,  79.25,  1.02,  1.02, 0.250, 0.550, 0.200, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0143,  40.64,  79.25,  1.02,  1.02, 0.250, 0.500, 0.250, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0144,  42.67,  79.25,  1.02,  1.02, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2 
0145,  44.70,  79.25,  1.02,  1.02, 0.250, 0.450, 0.300, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0146,  46.73,  79.25,  1.02,  1.02, 0.250, 0.400, 0.350, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0147,  48.76,  79.25,  1.02,  1.02, 0.250, 0.350, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0148,  50.80,  79.25,  1.02,  1.02, 0.250, 0.300, 0.450, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0149,  52.83,  79.25,  1.02,  1.02, 0.250, 0.250, 0.500, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0150,  54.86,  79.25,  1.02,  1.02, 0.250, 0.200, 0.550, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0151,  56.89,  79.25,  1.02,  1.02, 0.250, 0.150, 0.600, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0152,  58.92,  79.25,  1.02,  1.02, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1 
0153,  60.96,  79.25,  1.02,  1.02, 0.250, 0.100, 0.650, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0154,  62.99,  79.25,  1.02,  1.02, 0.250, 0.050, 0.700, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0155,  65.02,  79.25,  1.02,  1.02, 0.250, 0.000, 0.750, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0156,  67.05,  79.25,  1.02,  1.02, 0.200, 0.800, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0157,  69.08,  79.25,  1.02,  1.02, 0.200, 0.750, 0.050, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0158,  71.12,  79.25,  1.02,  1.02, 0.200, 0.700, 0.100, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0159,  73.15,  79.25,  1.02,  1.02, 0.200, 0.650, 0.150, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0160,  75.18,  79.25,  1.02,  1.02, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2 
0161,  77.21,  79.25,  1.02,  1.02, 0.200, 0.600, 0.200, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0162,  79.24,  79.25,  1.02,  1.02, 0.200, 0.550, 0.250, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0163,  81.28,  79.25,  1.02,  1.02, 0.200, 0.500, 0.300, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
